user_id,product_id,tipo_interaccion,rating,comentario,timestamp,metodo_pago
4915,84,Valoracion,5.0,,2023-01-01 00:00:00,tarjeta_credito
4608,1852,Valoracion,,,2023-01-01 00:01:00,tarjeta_compensar
1695,1033,Valoracion,5.0,,2023-01-01 00:02:00,tarjeta_credito
1781,239,Consulta,,,2023-01-01 00:03:00,tarjeta_compensar
3584,1508,Comentario,,Excelente,2023-01-01 00:04:00,pse
4316,1072,Compra,,,2023-01-01 00:05:00,tarjeta_compensar
74,227,Comentario,,Excelente,2023-01-01 00:06:00,tarjeta_credito
878,1313,Compra,,,2023-01-01 00:07:00,tarjeta_compensar
2105,286,Valoracion,1.0,,2023-01-01 00:08:00,tarjeta_compensar
2144,1230,Valoracion,5.0,,2023-01-01 00:09:00,tarjeta_credito
1591,1183,Consulta,,,2023-01-01 00:10:00,pse
1985,1600,Consulta,,,2023-01-01 00:11:00,tarjeta_compensar
4851,1669,Valoracion,3.0,,2023-01-01 00:12:00,pse
4347,172,Valoracion,4.0,,2023-01-01 00:13:00,pse
997,724,Compra,,,2023-01-01 00:14:00,tarjeta_credito
1310,1332,Consulta,,,2023-01-01 00:15:00,pse
407,1834,Comentario,,,2023-01-01 00:16:00,tarjeta_compensar
3868,1295,Compra,,,2023-01-01 00:17:00,pse
2268,463,Valoracion,3.0,,2023-01-01 00:18:00,tarjeta_credito
4341,1511,Consulta,,,2023-01-01 00:19:00,pse
2179,1759,Compra,,,2023-01-01 00:20:00,tarjeta_credito
4051,171,Consulta,,,2023-01-01 00:21:00,tarjeta_compensar
744,946,Comentario,,Excelente,2023-01-01 00:22:00,tarjeta_credito
1938,1607,Comentario,,Excelente,2023-01-01 00:23:00,tarjeta_compensar
3742,839,Comentario,,Excelente,2023-01-01 00:24:00,pse
37,982,Comentario,,Excelente,2023-01-01 00:25:00,tarjeta_compensar
2094,1254,Comentario,,Excelente,2023-01-01 00:26:00,tarjeta_compensar
1698,407,Compra,,,2023-01-01 00:27:00,tarjeta_compensar
3333,1862,Consulta,,,2023-01-01 00:28:00,pse
3352,232,Comentario,,Excelente,2023-01-01 00:29:00,tarjeta_credito
3765,1462,Consulta,,,2023-01-01 00:30:00,tarjeta_credito
3465,804,Valoracion,5.0,,2023-01-01 00:31:00,tarjeta_compensar
23,989,Consulta,,,2023-01-01 00:32:00,tarjeta_compensar
2960,1188,Valoracion,4.0,,2023-01-01 00:33:00,pse
2257,898,Consulta,,,2023-01-01 00:34:00,tarjeta_compensar
4653,47,Compra,,,2023-01-01 00:35:00,tarjeta_compensar
2811,821,Compra,,,2023-01-01 00:36:00,pse
